RUL_SEQ_NO,DESCR,GRP_TYP,GRP_COD,CUST_NO,ITEM_NO,PRC_METH,PRC_BASIS,AMT_OR_PCT,MIN_QTY
1,SUPERIOR PC S CS,C,144319,,,D,R,49.4949,0.0001
1,SUPERIOR PC S CS,C,144555,,,D,R,53.2828,0.0001
1,SUPERIOR PC S CS,C,145833,,,D,R,57.2650,0.0001
1,SUPERIOR PC S CS,C,148949,,,D,R,59.5960,0.0001
1,SUPERIOR PC S CS,C,150583,,,D,R,54.6667,0.0001
1,SUPERIOR PC S CS,C,169859,,,D,R,57.0707,0.0001
1,SUPERIOR PC S CS,C,173112,,,D,R,53.1250,0.0001
1,SUPERIOR PC S CS,C,176330,,,D,R,39.5833,0.0001
1,SUPERIOR PC S CS,C,180571,,,D,R,51.7287,0.0001
1,SUPERIOR PC S CS,C,181180,,,D,R,64.6465,0.0001
1,SUPERIOR PC S CS,C,181757,,,D,R,65.8228,0.0001
1,SUPERIOR PC S CS,C,182936,,,D,R,52.0202,0.0001
1,SUPERIOR PC S CS,C,185133,,,D,R,59.1969,0.0001
1,SUPERIOR PC S CS,C,185795,,,D,R,51.3889,0.0001
1,SUPERIOR PC S CS,C,186983,,,D,R,64.0152,0.0001
1,SUPERIOR PC S CS,C,187635,,,D,R,56.2500,0.0001
1,SUPERIOR PC S CS,C,191087,,,D,R,52.0202,0.0001
1,SUPERIOR PC S CS,C,191554,,,D,R,58.2210,0.0001
1,SUPERIOR PC S CS,C,191845,,,D,R,56.0000,0.0001
1,SUPERIOR PC S CS,C,191935,,,D,R,43.7500,0.0001
1,SUPERIOR PC S CS,C,192758,,,D,R,41.9192,0.0001
1,SUPERIOR PC S CS,C,192843,,,D,R,27.6527,0.0001
1,SUPERIOR PC S CS,C,193342,,,D,R,49.4949,0.0001
1,SUPERIOR PC S CS,C,197620,,,D,R,56.0000,0.0001
1,SUPERIOR PC S CS,C,199285,,,D,R,59.0793,0.0001
1,SUPERIOR PC S CS,C,199359,,,D,R,16.2304,0.0001
1,SUPERIOR PC S CS,C,199418,,,D,R,52.7559,0.0001
1,SUPERIOR PC S CS,C,199925,,,D,R,56.9752,0.0001
1,SUPERIOR PC S CS,C,200628,,,D,R,44.2857,0.0001
1,SUPERIOR PC S CS,C,201431,,,D,R,42.6667,0.0001
1,SUPERIOR PC S CS,C,201783,,,D,R,50.7772,0.0001
1,SUPERIOR PC S CS,C,202674,,,D,R,61.3333,0.0001
1,SUPERIOR PC S CS,C,202758,,,D,R,53.3333,0.0001
1,SUPERIOR PC S CS,C,203049,,,D,R,57.5000,0.0001
1,SUPERIOR PC S CS,C,203148,,,D,R,44.4444,0.0001
1,SUPERIOR PC S CS,C,203222,,,D,R,58.7500,0.0001
1,SUPERIOR PC S CS,C,203893,,,D,R,53.3333,0.0001
1,SUPERIOR PC S CS,C,204034,,,D,R,59.5960,0.0001
1,SUPERIOR PC S CS,C,204624,,,D,R,53.3679,0.0001
1,SUPERIOR PC S CS,C,206466,,,D,R,46.6667,0.0001
1,SUPERIOR PC S CS,C,206752,,,D,R,64.0371,0.0001
1,SUPERIOR PC S CS,C,207338,,,D,R,56.8966,0.0001
1,SUPERIOR PC S CS,C,207814,,,D,R,58.7500,0.0001
1,SUPERIOR PC S CS,C,207826,,,D,R,60.2564,0.0001
1,SUPERIOR PC S CS,C,208839,,,D,R,52.4439,0.0001
1,SUPERIOR PC S CS,C,209492,,,D,R,62.1212,0.0001
1,SUPERIOR PC S CS,C,210083,,,D,R,73.4609,0.0001
1,SUPERIOR PC S CS,C,210600,,,D,R,73.0000,0.0001
1,SUPERIOR PC S CS,C,211271,,,D,R,63.7500,0.0001
1,SUPERIOR PC S CS,C,211483,,,D,R,28.5714,0.0001
1,SUPERIOR PC S CS,C,211502,,,D,R,62.8571,0.0001
1,SUPERIOR PC S CS,C,211528,,,D,R,73.1183,0.0001
1,SUPERIOR PC S CS,C,211663,,,D,R,67.5000,0.0001
1,SUPERIOR PC S CS,C,211747,,,D,R,49.4949,0.0001
1,SUPERIOR PC S CS,C,211863,,,D,R,46.2500,0.0001
1,SUPERIOR PC S CS,C,AWC-10-03,,,D,R,52.7273,0.0001
1,SUPERIOR PC S CS,C,AXC-03-01,,,D,R,51.6300,0.0001
1,SUPERIOR PC S CS,C,AYC-12-03,,,D,R,58.6207,0.0001
1,SUPERIOR PC S CS,C,AYC-22-03,,,D,R,50.0000,0.0001
1,PC S CS,C,BWC-10-03,,,D,1,70.0000,0.0000
1,SUPERIOR PC S CS,C,BXC-03-01,,,D,R,61.3333,0.0001
1,SUPERIOR PC S CS,C,BXC-06-01,,,D,R,66.2420,0.0001
1,SUPERIOR PC S CS,C,CXC-27-15,,,D,R,52.8750,0.0001
1,SUPERIOR PC S CS,C,CYC-05-01,,,D,R,63.1250,0.0001
1,SUPERIOR PC S CS,C,CYC-13-05,,,D,R,55.0000,0.0001
1,SUPERIOR PC S CS,C,ECX-23-01,,,D,R,50.0000,0.0001
1,SUPERIOR PC S CS,C,EYC-23-03,,,D,R,60.7018,0.0001
1,SUPERIOR PC S CS,C,FWC-22-01,,,D,R,45.3333,0.0001
1,SUPERIOR PC S CS,C,FXC-15-01,,,D,R,49.3333,0.0001
1,SUPERIOR PC S CS,C,FXC-29-02,,,D,R,66.6667,0.0001
1,SUPERIOR PC S CS,C,GWC-01-01,,,D,R,56.3758,0.0001
1,SUPERIOR PC S CS,C,GWC-08-04,,,D,R,62.1212,0.0001
1,SUPERIOR PC S CS,C,HVC-24-01,,,D,R,61.0390,0.0001
1,SUPERIOR PC S CS,C,HWC-01-09,,,D,R,63.7500,0.0001
1,SUPERIOR PC S CS,C,HWC-01-10,,,D,R,62.1212,0.0001
1,SUPERIOR PC S CS,C,HWC-01-11,,,D,R,62.7525,0.0001
1,SUPERIOR PC S CS,C,HWC-23-05,,,D,R,58.5260,0.0001
1,SUPERIOR PC S CS,C,HXC-14-02,,,D,R,62.5000,0.0001
1,SUPERIOR PC S CS,C,HXC-23-01,,,D,R,51.2500,0.0001
1,SUPERIOR PC S CS,C,IWC-08-01,,,D,R,55.5556,0.0001
1,SUPERIOR PC S CS,C,IXC-12-01,,,D,R,0.0000,0.0001
1,SUPERIOR PC S CS,C,JWC-17-23,,,D,R,64.2857,0.0001
1,SUPERIOR PC S CS,C,JWC-18-01,,,D,R,65.3333,0.0001
1,SUPERIOR PC S CS,C,JWC-27-09,,,D,R,71.2500,0.0001
1,SUPERIOR PC S CS,C,KVC-18-02,,,D,R,58.7500,0.0001
1,SUPERIOR PC S CS,C,KVC-30-03,,,D,R,64.7500,0.0001
1,SUPERIOR PC S CS,C,LWC-19-12,,,D,R,65.9091,0.0001
1,SUPERIOR PC S CS,C,NCR CASH,,,D,1,50.0000,1.0000
1,TIER 1 CUSTOMERS,S,TIERED,,,D,1,28.0000,0.0010
1,PRICE MATCH 11738,S,CUST#2056,2056,11738,F,!,57.0000,1.0000
2,PRICE MATCH 11740,S,CUST#2056,2056,11740,F,!,118.9300,1.0000
2,TIER 2 CUSTOMERS,S,TIERED,,,D,1,33.0000,0.0010
2,SUPERIOR CB S CS,C,NCR CASH,,,D,1,50.0000,1.0000
2,SUPERIOR CB S CS,C,LWC-19-12,,,D,R,36.8687,0.0001
2,SUPERIOR CB S CS,C,KVC-30-03,,,D,R,64.7500,0.0001
2,SUPERIOR CB S CS,C,KVC-18-02,,,D,R,58.7500,0.0001
2,SUPERIOR CB S CS,C,JWC-27-09,,,D,R,67.5000,0.0001
2,SUPERIOR CB S CS,C,JWC-18-01,,,D,R,58.4323,0.0001
2,SUPERIOR CB S CS,C,JWC-17-23,,,D,R,63.0542,0.0001
2,SUPERIOR CB S CS,C,IXC-12-01,,,D,R,71.2500,0.0001
2,SUPERIOR CB S CS,C,IWC-08-01,,,D,R,55.5556,0.0001
2,SUPERIOR CB S CS,C,HXC-23-01,,,D,R,0.0000,0.0001
2,SUPERIOR CB S CS,C,HXC-14-02,,,D,R,56.2500,0.0001
2,SUPERIOR CB S CS,C,HWC-23-05,,,D,R,27.7457,0.0001
2,SUPERIOR CB S CS,C,HWC-01-11,,,D,R,55.8081,0.0001
2,SUPERIOR CB S CS,C,HWC-01-10,,,D,R,49.4949,0.0001
2,SUPERIOR CB S CS,C,HWC-01-09,,,D,R,63.7500,0.0001
2,SUPERIOR CB S CS,C,HVC-24-01,,,D,R,28.5714,0.0001
2,SUPERIOR CB S CS,C,GWC-08-04,,,D,R,48.5714,0.0001
2,SUPERIOR CB S CS,C,GWC-01-01,,,D,R,0.0000,0.0001
2,SUPERIOR CB S CS,C,FXC-29-02,,,D,R,61.3333,0.0001
2,SUPERIOR CB S CS,C,FXC-15-01,,,D,R,0.0000,0.0001
2,SUPERIOR CB S CS,C,FWC-22-01,,,D,R,38.6667,0.0001
2,SUPERIOR CB S CS,C,EYC-23-03,,,D,R,28.5714,0.0001
2,SUPERIOR CB S CS,C,ECX-23-01,,,D,R,43.7500,0.0001
2,SUPERIOR CB S CS,C,CYC-13-05,,,D,R,0.0000,0.0001
2,SUPERIOR CB S CS,C,CYC-05-01,,,D,R,0.0000,0.0001
2,SUPERIOR CB S CS,C,CXC-27-15,,,D,R,46.2500,0.0001
